#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA28BE
#Date Time: 2023-05-24 14:48:05.669
#Sample rate: 558659Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 800 mV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.007742319299702757,0.07115663106085063,-1.3169426110237734
-0.007740529299702757,0.07115663106085063,-1.3169426110237734
-0.007738739299702756,0.06376018135568304,-1.320649962004811
-0.0077369492997027564,0.06376018135568304,-1.3169426110237734
-0.007735159299702757,0.06376018135568304,-1.3169426110237734
-0.007733369299702756,0.0637601813556864,-1.320649962004811
-0.007731579299702756,0.07115663106085063,-1.320649962004811
-0.0077297892997027565,0.06745840620826683,-1.3169426110237734
-0.007727999299702757,0.06376018135568304,-1.3169426110237734
-0.007726209299702756,0.06376018135568304,-1.3169426110237734
-0.007724419299702756,0.06006195650309923,-1.320649962004811
-0.0077226292997027565,0.06745840620826683,-1.3169426110237734
-0.007720839299702757,0.06745840620826683,-1.320649962004811
-0.007719049299702756,0.06745840620826683,-1.3169426110237734
-0.007717259299702756,0.06006195650309923,-1.320649962004811
-0.0077154692997027565,0.06006195650309923,-1.320649962004811
-0.007713679299702757,0.06006195650309923,-1.3243573129858488
-0.007711889299702756,0.06006195650309923,-1.320649962004811
-0.007710099299702756,0.06006195650309923,-1.3169426110237734
-0.0077083092997027565,0.06006195650309923,-1.320649962004811
-0.007706519299702757,0.05636373165051543,-1.3243573129858488
-0.007704729299702756,0.05636373165051543,-1.320649962004811
-0.007702939299702756,0.05636373165051543,-1.3169426110237734
-0.0077011492997027566,0.06006195650309923,-1.3169426110237734
-0.007699359299702757,0.06006195650309923,-1.3132352600427357
-0.007697569299702756,0.06006195650309923,-1.3132352600427357
-0.007695779299702756,0.05636373165051543,-1.320649962004811
-0.007693989299702757,0.05636373165051543,-1.3169426110237734
-0.007692199299702757,0.06006195650309923,-1.3169426110237734
-0.007690409299702756,0.05636373165051543,-1.3169426110237734
-0.007688619299702756,0.05636373165051543,-1.3169426110237734
-0.007686829299702757,0.05636373165051543,-1.3243573129858488
-0.007685039299702757,0.06006195650309923,-1.3169426110237734
-0.007683249299702756,0.06006195650309923,-1.3169426110237734
-0.007681459299702756,0.05636373165051543,-1.3169426110237734
-0.007679669299702757,0.05636373165051543,-1.3169426110237734
-0.007677879299702757,0.06376018135568304,-1.3132352600427357
-0.007676089299702756,0.05266550679793163,-1.3132352600427357
-0.007674299299702756,0.06006195650309923,-1.3132352600427357
-0.007672509299702757,0.05636373165051543,-1.320649962004811
-0.007670719299702757,0.05266550679793331,-1.320649962004811
-0.007668929299702756,0.05266550679793163,-1.320649962004811
-0.0076671392997027564,0.05266550679793163,-1.3243573129858488
-0.007665349299702757,0.05636373165051543,-1.3169426110237734
-0.007663559299702756,0.05266550679792995,-1.3169426110237734
-0.007661769299702756,0.048967281945347836,-1.3169426110237734
-0.0076599792997027565,0.05636373165051543,-1.3169426110237734
-0.007658189299702757,0.05636373165051543,-1.3169426110237734
-0.007656399299702756,0.05636373165051207,-1.320649962004811
-0.007654609299702756,0.048967281945347836,-1.320649962004811
-0.0076528192997027565,0.048967281945347836,-1.320649962004811
-0.007651029299702757,0.05266550679793163,-1.3169426110237734
-0.007649239299702756,0.048967281945347836,-1.320649962004811
-0.007647449299702756,0.048967281945347836,-1.3169426110237734
-0.0076456592997027565,0.05266550679793163,-1.320649962004811
-0.007643869299702757,0.05266550679793163,-1.3169426110237734
-0.007642079299702756,0.048967281945347836,-1.3169426110237734
-0.007640289299702756,0.045269057092764034,-1.3169426110237734
-0.0076384992997027565,0.045269057092764034,-1.320649962004811
-0.007636709299702757,0.048967281945347836,-1.3169426110237734
-0.007634919299702756,0.048967281945347836,-1.3169426110237734
-0.007633129299702756,0.045269057092764034,-1.320649962004811
-0.0076313392997027565,0.048967281945347836,-1.3169426110237734
-0.007629549299702757,0.048967281945347836,-1.3169426110237734
-0.007627759299702756,0.045269057092764034,-1.3169426110237734
-0.007625969299702756,0.048967281945347836,-1.320649962004811
-0.0076241792997027566,0.048967281945347836,-1.3169426110237734
-0.007622389299702757,0.04157083224018024,-1.3169426110237734
-0.007620599299702756,0.03787260738759644,-1.3169426110237734
-0.007618809299702756,0.048967281945347836,-1.3132352600427357
-0.007617019299702757,0.045269057092764034,-1.3169426110237734
-0.007615229299702757,0.045269057092764034,-1.320649962004811
-0.007613439299702756,0.04157083224018024,-1.3169426110237734
-0.007611649299702756,0.045269057092764034,-1.3169426110237734
-0.007609859299702757,0.045269057092764034,-1.3169426110237734
-0.007608069299702757,0.048967281945347836,-1.3169426110237734
-0.007606279299702756,0.048967281945347836,-1.3132352600427357
-0.007604489299702756,0.04157083224018024,-1.3169426110237734
-0.007602699299702757,0.045269057092764034,-1.320649962004811
-0.007600909299702757,0.04157083224018024,-1.320649962004811
-0.007599119299702756,0.045269057092764034,-1.3132352600427357
-0.007597329299702756,0.04157083224018024,-1.320649962004811
-0.007595539299702757,0.03787260738759644,-1.3132352600427357
-0.007593749299702757,0.03787260738759644,-1.3132352600427357
-0.007591959299702756,0.04157083224018024,-1.320649962004811
-0.0075901692997027564,0.04157083224018024,-1.320649962004811
-0.007588379299702757,0.04157083224018024,-1.3169426110237734
