#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA28BE
#Date Time: 2023-05-24 14:52:32.539
#Sample rate: 17809.4Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 800 mV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.19772375183775903,-0.07677236304250135,-1.3169426110237734
-0.19766760183775905,-0.08416881274766559,-1.3169426110237734
-0.19761145183775902,-0.10265993701058794,-1.3169426110237734
-0.19755530183775905,-0.11005638671575219,-1.3169426110237734
-0.19749915183775907,-0.11375461156833766,-1.3169426110237734
-0.19744300183775904,-0.12115106127350694,-1.3169426110237734
-0.19738685183775906,-0.12854751097867118,-1.3169426110237734
-0.19733070183775903,-0.13594396068384215,-1.3169426110237734
-0.19727455183775905,-0.13964218553642424,-1.3169426110237734
-0.19721840183775902,-0.14703863524159524,-1.3169426110237734
-0.19716225183775904,-0.15073686009417733,-1.3169426110237734
-0.19710610183775906,-0.1581333097993416,-1.3169426110237734
-0.19704995183775903,-0.16183153465192873,-1.3169426110237734
-0.19699380183775905,-0.16552975950451085,-1.3169426110237734
-0.19693765183775902,-0.16922798435709635,-1.3132352600427357
-0.19688150183775904,-0.17292620920967844,-1.3132352600427357
-0.19682535183775907,-0.17662443406226225,-1.3169426110237716
-0.19676920183775903,-0.17662443406226394,-1.3169426110237734
-0.19671305183775906,-0.18032265891484606,-1.3169426110237734
-0.19665690183775902,-0.18032265891484775,-1.3169426110237734
-0.19660075183775905,-0.18402088376742984,-1.3132352600427375
-0.19654460183775907,-0.18402088376743153,-1.31694261102377
-0.19648845183775904,-0.18771910862001534,-1.3169426110237734
-0.19643230183775906,-0.18771910862001534,-1.3169426110237734
-0.19637615183775903,-0.18771910862001534,-1.3169426110237734
-0.19632000183775905,-0.19141733347259743,-1.3169426110237734
-0.19626385183775902,-0.19141733347259912,-1.3169426110237734
-0.19620770183775904,-0.19141733347259912,-1.3169426110237734
-0.19615155183775906,-0.19141733347259912,-1.3169426110237734
-0.19609540183775903,-0.19511555832518293,-1.3132352600427357
-0.19603925183775905,-0.19511555832518293,-1.3169426110237716
-0.19598310183775902,-0.19141733347259912,-1.3169426110237734
-0.19592695183775904,-0.19511555832518124,-1.3169426110237734
-0.19587080183775907,-0.19511555832518293,-1.3132352600427375
-0.19581465183775904,-0.19511555832518293,-1.3169426110237734
-0.19575850183775906,-0.19511555832518293,-1.3169426110237734
-0.19570235183775903,-0.19511555832518293,-1.3169426110237734
-0.19564620183775905,-0.19511555832518293,-1.3169426110237734
-0.19559005183775907,-0.19511555832518293,-1.3169426110237734
