#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA28BE
#Date Time: 2023-05-24 14:52:44.036
#Sample rate: 17809.4Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 800 mV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.1977148314612617,-0.07677236304250135,-1.3169426110237734
-0.1976586814612617,-0.08416881274766895,-1.3169426110237734
-0.1976025314612617,-0.09156526245283655,-1.3169426110237734
-0.1975463814612617,-0.10265993701058794,-1.3169426110237734
-0.1974902314612617,-0.11005638671575554,-1.3132352600427357
-0.1974340814612617,-0.11745283642092315,-1.3169426110237734
-0.1973779314612617,-0.12484928612609074,-1.3169426110237734
-0.1973217814612617,-0.12854751097867453,-1.3169426110237734
-0.1972656314612617,-0.13594396068384215,-1.3169426110237734
-0.1972094814612617,-0.13964218553642763,-1.3169426110237734
-0.1971533314612617,-0.14334041038900974,-1.3169426110237734
-0.1970971814612617,-0.14703863524159355,-1.3169426110237734
-0.1970410314612617,-0.15073686009417733,-1.3169426110237734
-0.1969848814612617,-0.15443508494676114,-1.3169426110237734
-0.1969287314612617,-0.15443508494676114,-1.3169426110237734
-0.19687258146126171,-0.15813330979934326,-1.3132352600427375
-0.1968164314612617,-0.16183153465192873,-1.3132352600427357
-0.1967602814612617,-0.16183153465192873,-1.3169426110237734
-0.1967041314612617,-0.16183153465192873,-1.3169426110237734
-0.1966479814612617,-0.16552975950451254,-1.3132352600427357
-0.1965918314612617,-0.16552975950451254,-1.3132352600427357
-0.1965356814612617,-0.16552975950451254,-1.3132352600427357
-0.1964795314612617,-0.16922798435709635,-1.3132352600427357
-0.1964233814612617,-0.16552975950451254,-1.3132352600427357
-0.1963672314612617,-0.16922798435709635,-1.3132352600427357
-0.1963110814612617,-0.16922798435709635,-1.3169426110237734
-0.1962549314612617,-0.16922798435709635,-1.3169426110237734
-0.1961987814612617,-0.16922798435709635,-1.3169426110237734
-0.1961426314612617,-0.16922798435709635,-1.3169426110237734
-0.1960864814612617,-0.17292620920968013,-1.3169426110237734
-0.1960303314612617,-0.17292620920968013,-1.3169426110237734
-0.1959741814612617,-0.17292620920968013,-1.3169426110237734
-0.1959180314612617,-0.16922798435709635,-1.3169426110237734
-0.1958618814612617,-0.16922798435709635,-1.3169426110237734
-0.1958057314612617,-0.16922798435709635,-1.3132352600427357
-0.1957495814612617,-0.16922798435709635,-1.3132352600427357
